ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0051289,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£5,250.00",23/02/2011,Overheads and general administration,Alex Kane,"N/A, N/A, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,"£5,250.00",01/06/2011,23/06/2011,83,2945,,,,False
SP0050979,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,"£2,856.00",23/02/2011,Party manifesto material or third party campaign/referendum material,Colour Graphics Ltd,"Alexander Road, Belfast, BT6 9HP, United Kingdom",£0.00,£0.00,£0.00,"£2,856.00",30/04/2011,24/05/2011,55,3646,,,,False
SP0077035,The Campaign to End all Animal Experiments,Northern Ireland Assembly election 05/05/2011,Third Party,£11.53,22/02/2011,Overheads and general administration,Royal Mail,"100 Victoria Embankment, London, EC4Y 0HQ, United Kingdom",£0.00,£0.00,£0.00,£0.00,28/03/2011,27/04/2011,970,6269,,,,False
SP0051341,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£14,067.60",21/02/2011,Campaign broadcasts,Macmillan Media,"32-36 Dublin Road, Belfast, Antrim, BT2 7HW, United Kingdom",£0.00,£0.00,£0.00,"£14,067.60",28/02/2011,23/03/2011,83,2918,,,,False
SP0051220,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£77.49,18/02/2011,Transport,EasyJet,"n/a, n/a, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£77.49,18/02/2011,18/02/2011,84,3727,,,,False
SP0051221,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£77.49,17/02/2011,Transport,EasyJet,"n/a, n/a, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£77.49,17/02/2011,17/02/2011,84,3727,,,,False
SP0051230,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£61.99,16/02/2011,Overheads and general administration,Cartridge Works,"3 Belfast Road, Bangor, Down, BT20 3PN, United Kingdom",£0.00,£0.00,£0.00,£61.99,16/02/2011,16/02/2011,84,3733,,,,False
SP0051207,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£235.00,14/02/2011,Advertising,Belfast Print Company,"PO Box 1259, Belfast, BT4 9DG, United Kingdom",£0.00,£0.00,£0.00,£235.00,14/02/2011,14/02/2011,84,3718,,,,False
SP0050971,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,£570.00,14/02/2011,Advertising,Event Display,"1 Weavers Court, Linefield Road, Belfast, BT12 5GH, United Kingdom",£0.00,£0.00,£0.00,£570.00,04/04/2011,24/05/2011,55,3639,,,,False
SP0051232,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£300.00,10/02/2011,Overheads and general administration,Hargreaves House B and B,"78 Seacliffe Road, Bangor, Down, BT20 5EZ, United Kingdom",£0.00,£0.00,£0.00,£300.00,16/02/2011,16/02/2011,84,3734,,,,False
